Price,Date,Close,High,Low,Open,Volume
Ticker,,NVDA,NVDA,NVDA,NVDA,NVDA
0,2021-12-27,30.893619537353516,31.035383962810204,29.59078601588562,29.61075326548385,403686000
1,2021-12-28,30.27165412902832,31.2779798761031,29.962167479204744,31.26001011350921,420591000
2,2021-12-29,29.95118522644043,30.49727786088368,29.31723936389222,30.222734856896757,343139000
3,2021-12-30,29.536876678466797,30.406430783969572,29.490953527811683,29.777475751930552,308864000
4,2021-12-31,29.362163543701172,29.980137105910405,29.282296456577313,29.624727330491215,266530000
5,2022-01-03,30.070987701416016,30.660008224026054,29.735545150472017,29.76549602429652,391547000
6,2022-01-04,29.24136734008789,30.417410867767106,28.30192980643292,30.226728022386652,527154000
7,2022-01-05,27.55816650390625,29.36715813948575,27.487285245137592,28.90093258498612,498064000
8,2022-01-06,28.131210327148438,28.39077882933045,27.020059483768947,27.59410356189902,454186000
9,2022-01-07,27.201759338378906,28.374809533146287,27.012074277608804,28.094275963122143,409939000
10,2022-01-10,27.354507446289062,27.423393129443014,25.601422412131438,26.53686698684518,594681000
11,2022-01-11,27.770814895629883,28.018404238255883,26.79443993254991,27.277635601334605,404089000
12,2022-01-12,27.95250701904297,28.54751610180547,27.562155544720017,28.020392990111265,383413000
13,2022-01-13,26.530874252319336,28.432709872765688,26.454000538070343,28.331877745975987,540171000
14,2022-01-14,26.897266387939453,27.151844065989813,26.166481411018356,26.256332132191215,395832000
15,2022-01-18,25.8599910736084,26.593771304174776,25.727212482924052,26.216398668574403,424270000
16,2022-01-19,25.02537727355957,26.49892630165534,25.010402789445816,26.03569794765368,488315000
17,2022-01-20,24.109905242919922,25.53653363787122,24.038024276244425,25.261990579927787,435181000
18,2022-01-21,23.33519172668457,24.781785297777425,23.22437596365487,23.46797032239666,718958000
19,2022-01-24,23.33319091796875,23.341177055228645,20.85331630570892,22.292921324697573,913982000
20,2022-01-25,22.286935806274414,22.904909492816067,21.9634743239716,22.50856735086577,664616000
21,2022-01-26,22.73419189453125,24.017058306689155,22.26297541590062,23.20141530364192,755959000
22,2022-01-27,21.907562255859375,23.955157166718767,21.63900792465583,23.528866154048988,573353000
23,2022-01-28,22.802078247070312,22.820048010786028,21.2606411698598,21.975451978511124,543774000
24,2022-01-31,24.445344924926758,24.46830745303142,23.01372584022643,23.143509157916917,564680000
25,2022-02-01,24.59709358215332,25.103251770657277,23.850334402918143,25.062319478076446,518925000
26,2022-02-02,25.200092315673828,25.77413652411393,24.512235152700143,25.751175898285492,543419000
27,2022-02-03,23.908239364624023,25.03536460943993,23.74051902430262,24.41739284597642,410178000
28,2022-02-04,24.278623580932617,24.594098913145782,23.592763927946162,23.93219958069796,354829000
29,2022-02-07,24.68694496154785,25.140189757444848,24.161817299723978,24.33153512640469,376868000
30,2022-02-08,25.06631088256836,25.18810805676173,23.940183536658417,24.318553961718123,410359000
31,2022-02-09,26.660661697387695,26.680628948455045,25.31090713465398,25.5794596160369,524282000
32,2022-02-10,25.781126022338867,26.880297958422666,25.557498885365437,25.95184355757572,513200000
33,2022-02-11,23.909238815307617,26.108582372962644,23.73353232397115,25.87297412376955,605472000
34,2022-02-14,24.22671127319336,24.833701652225905,23.715560277682595,23.894263948675658,440424000
35,2022-02-15,26.451011657714844,26.50092788192598,24.742851958997832,24.90757702224009,699869000
36,2022-02-16,26.466983795166016,26.537866965853834,25.509576376590644,26.21540328445348,732676000
37,2022-02-17,24.46630859375,25.742186483134226,24.124877394367978,25.587443159331453,810595000
38,2022-02-18,23.602741241455078,24.944509311881166,23.061641447709086,24.62703657778217,761255000
39,2022-02-22,23.351165771484375,24.02404653900584,22.961813884519863,22.996755622879142,633422000
40,2022-02-23,22.34982681274414,24.11489270479271,22.263971073182564,23.762478201075112,566511000
41,2022-02-24,23.70857048034668,23.760484190648757,20.855315804695255,20.980108267680137,735801000
42,2022-02-25,24.116886138916016,24.176785973879223,23.342175640290087,23.68161121205063,528866000
43,2022-02-28,24.344512939453125,24.624048730928077,23.667639149845247,23.952165801801094,477319000
44,2022-03-01,23.438018798828125,24.33652598998969,23.09359231167068,24.250668339961535,412056000
45,2022-03-02,24.183902740478516,24.372622143771075,23.38010408188159,23.720595472214217,389642000
46,2022-03-03,23.678659439086914,24.289746880511846,23.434023727575262,24.225841178728494,365095000
47,2022-03-04,22.90182113647461,23.644711894757485,22.448497224044026,23.349153472199582,431415000
48,2022-03-07,21.320178985595703,22.99867549826124,21.29821241150466,22.782995888751245,450821000
49,2022-03-08,21.48194122314453,22.339660452548646,20.61922837788055,21.27724677653785,557467000
50,2022-03-09,22.97970199584961,23.185394367769312,22.213844863846813,22.353635611315923,492742000
51,2022-03-10,22.624235153198242,22.754040584396947,21.84939060205411,22.497423605794957,428066000
52,2022-03-11,22.067068099975586,23.11051097101705,22.01314771477346,22.98769316228172,367209000
53,2022-03-14,21.2982120513916,22.228822309416955,21.127467363192725,21.836408343571552,385354000
54,2022-03-15,22.938766479492188,23.003670153349315,21.290227637769835,21.48593471619228,491996000
55,2022-03-16,24.459491729736328,24.56034103288872,23.13746559848117,23.46497586732154,671422000
56,2022-03-17,24.72909164428711,24.80497668926542,23.870372704390515,24.08405447817584,471941000
57,2022-03-18,26.413576126098633,26.529404378396535,24.58730332281658,24.762041757956382,730719000
58,2022-03-21,26.694156646728516,27.111534860017848,25.92829953534137,26.467495668789798,591727000
